Felidae,Canidae
Boletus edulis,Tylopilus felleus
Cantharellus cibarius,Hygrophoropsis aurantiaca
Morchella esculenta,Gyromitra esculenta
Leccinum scabrum,Leccinum versipelle
Lactarius deliciosus,Lactarius deterrimus
Macrolepiota procera,Chlorophyllum molybdites
Coprinus comatus,Coprinopsis atramentaria
Ganoderma lucidum,Ganoderma applanatum
Pleurotus ostreatus,Pleurocybella porrigens
Armillaria mellea,Hypholoma fasciculare
Agaricus bisporus,Agaricus xanthodermus
Tricholoma matsutake,Tricholoma magnivelare
Russula emetica,Russula paludosa
Hydnum repandum,Hydnum rufescens
Laetiporus sulphureus,Cerioporus squamosus
Fistulina hepatica,Ganoderma resinaceum
Craterellus cornucopioides,Craterellus cinereus
Hericium erinaceus,Hericium coralloides
Tremella mesenterica,Naematelia aurantia
Auricularia auricula-judae,Exidia glandulosa
Flammulina velutipes,Galerina marginata
Psilocybe cubensis,Psilocybe semilanceata
Suillus luteus,Suillus granulatus
Cortinarius violaceus,Cortinarius iodes
Lentinula edodes,Lentinus tigrinus
Calvatia gigantea,Lycoperdon perlatum
Inonotus obliquus,Fomes fomentarius
Schizophyllum commune,Trametes betulina
Trametes versicolor,Stereum ostrea
Paxillus involutus,Tapinella atrotomentosa
Xerocomellus chrysenteron,Xerocomellus pruinatus
Amanita pantherina,Amanita rubescens
Clitocybe nebularis,Entoloma sinuatum
Coprinellus micaceus,Parasola plicatilis
Fomitopsis pinicola,Fomitopsis betulina
Phallus impudicus,Mutinus caninus
Scleroderma citrinum,Pisolithus tinctorius
Magnoliopsida,Liliopsida
Asteraceae,Brassicaceae
Apiaceae,Brassicaceae
Quercus robur,Quercus petraea
Betula pendula,Betula pubescens
Pinus sylvestris,Picea abies
Populus tremula,Populus alba
Ranunculus acris,Ranunculus repens
Taraxacum officinale,Leontodon hispidus
Solanum nigrum,Solanum americanum
Psychotria serpens,Ficus pumila
Psychotria serpens,Lemmaphyllum microphyllum
Ficus pumila,Lemmaphyllum microphyllum
Rhaphiolepis indica,Rhodomyrtus tomentosa
Stellaria graminea,Rabelera holostea
Rhodophyta,Phaeophyceae
Chlorophyta,Phaeophyceae
Corallinales,Peyssonneliaceae
Uroballus carlei,Miltochrista arcuata
Sepiida,Octopoda
Heteroptera,Coleoptera
Thysanoptera,Staphylinidae
Hymenoptera,Diptera
Amphibia,Reptilia
Marsupialia,Placentalia
Castor,Marmota
Castor,Lutrinae
Lutrinae,Phocoidea
Sirenia,Phocoidea
Salticidae,Oxyopidae
Pisauridae,Lycosidae
Philodromidae,Thomisidae
Thomisidae,Oxyopidae
Sparassidae,Philodromidae
Sparassidae,Corinnoidea
Hippocampus bargibanti,Hippocampus denise
Erinaceinae,Tachyglossidae
Chaetodon octofasciatus,Acanthurus triostegus
Acanthurus triostegus,Abudefduf sordidus
Abudefduf saxatilis,Abudefduf vaigiensis
Chaetodon wiebeli,Chaetodon lunula
Chaetodon lunula,Chaetodon auripes
Mephitis macroura,Mephitis mephitis
Mellivora capensis,Mephitis mephitis
Meles meles,Mephitis mephitis
Meles meles,Mellivora capensis
Gulo gulo,Pekania pennanti
Acari,Araneae
Pholcidae,Phalangiidae
Pholcus phalangioides,Pholcus opilionoides
Platydemus manokwari,Caenoplana coerulea
Limenitis archippus,Danaus plexippus
Micrurus,Lampropeltis elapsoides
Buteo albonotatus,Cathartes aura
Coracina bicolor,Philemon
Hierococcyx,Accipiter
Plagiotremus rhinorhynchos,Meiacanthus nigrolineatus
Aspidontus taeniatus,Labroides dimidiatus
Archaeognatha,Zygentoma
Pterygota,Archaeognatha
Pterygota,Zygentoma
Entognatha,Insecta
Hexapoda,Chelicerata
Pseudoscorpiones,Scorpiones
Hexanauplia,Malacostraca
Brachiopoda,Bivalvia
Chilopoda,Diplopoda
Juliformia,Merocheta
Blattodea,Coleoptera
Sphenisciformes,Alcidae
Cingulata,Pholidota
Simuliidae,Ceratopogonidae
Decapoda,Euphausiacea
Maratus,Saitis
Rhinolophoidea,Pteropodoidea
Pteropodoidea,Yangochiroptera
Phascolarctidae,Vombatidae
Dromaius,Struthio
Dromaius,Rhea
Rhea,Struthio
Casuarius,Meleagris
Gliridae,Muridae
Cynocephalidae,Pteromyini
Petaurus,Pteromyini
Cynocephalidae,Pteropodoidea
Camelus dromedarius,Camelus bactrianus
Lama guanicoe,Vicugna vicugna
Lama glama,Vicugna pacos
Lama guanicoe,Lama glama
Vicugna vicugna,Vicugna pacos
Spilopelia chinensis,Columba livia
Streptopelia decaocto,Streptopelia tranquebarica
Streptopelia orientalis,Streptopelia decaocto
Spilopelia chinensis,Streptopelia orientalis
Chalcophaps indica,Spilopelia chinensis
